case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,aesthetic_procedure,debt_status,employment_status,score
01_kangshimei,1,TW-P-0178,愛莎,19-24,學生,無收入,>8萬,高雄市,4,中,機車,1.5萬~3萬,中,>5000,無,無,不適用,5.2606
01_kangshimei,2,TW-P-0768,小艾,19-24,學生,無收入,5-7萬,基隆市,5+,中,機車,1.5萬~3萬,中,3000~5000,無,無,不適用,4.871
01_kangshimei,3,TW-P-0171,可恩,19-24,學生,無收入,5-7萬,台南市,2,低,汽車,1.5萬~3萬,中,>5000,無,無,不適用,4.6564
02_tesla,1,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,6.7397
02_tesla,2,TW-P-0586,彩華,55-64,金融,>8萬,>8萬,台南市,5+,低,汽車,5千~1.5萬,低,3000~5000,無,無,受僱者,6.6786
02_tesla,3,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,6.209
03_fashion,1,TW-P-0244,可恩,25-34,金融,>8萬,>8萬,新北市,2,中高,機車,1.5萬~3萬,中,>5000,無,無,受僱者,7.1747
03_fashion,2,TW-P-0285,安妮,25-34,金融,>8萬,>8萬,新北市,2,中高,捷運/公車,1.5萬~3萬,中,>5000,無,無,受僱者,6.887
03_fashion,3,TW-P-0449,世昌,45-54,金融,>8萬,>8萬,桃園市,2,中,捷運/公車,1.5萬~3萬,中,3000~5000,無,無,受僱者,6.7609
03_fashion,4,TW-P-0366,靜怡,35-44,科技,>8萬,>8萬,高雄市,2,中,機車,5千~1.5萬,低,>5000,無,有信貸或卡債,受僱者,6.567
03_fashion,5,TW-P-0215,文森,25-34,科技,>8萬,>8萬,台南市,2,低,機車,5千~1.5萬,低,3000~5000,無,無,受僱者,6.4544
03_fashion,6,TW-P-0475,淑貞,45-54,科技,>8萬,>8萬,台中市,1,中高,汽車,1.5萬~3萬,中,>5000,無,無,受僱者,6.2273
03_fashion,7,TW-P-0306,俊傑,35-44,科技,>8萬,>8萬,台北市,2,高,汽車,1.5萬~3萬,中,>5000,無,有信貸或卡債,受僱者,6.1217
03_fashion,8,TW-P-0256,若希,25-34,科技,>8萬,>8萬,新北市,2,中高,機車,<5千,低,>5000,無,無,受僱者,6.0002
03_fashion,9,TW-P-0252,小彤,25-34,科技,3-8萬,5-7萬,台北市,2,高,捷運/公車,1.5萬~3萬,中,>5000,無,有信貸或卡債,受僱者,5.2759
03_fashion,10,TW-P-0202,阿誠,25-34,科技,3-8萬,7萬,高雄市,2,中,汽車,<5千,低,>5000,無,無,受僱者,4.9306
04_role_fangzhong,1,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,5.5692
04_role_fangzhong,2,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,5.347
04_role_fangzhong,3,TW-P-0484,慧君,45-54,金融,>8萬,>8萬,台南市,3,低,機車,5千~1.5萬,低,>5000,無,無,自營作業者,5.1019
04_role_fangzhong,4,TW-P-0248,小奈,25-34,科技,>8萬,>8萬,台南市,3,低,捷運/公車,<5千,低,>5000,無,無,受僱者,5.064
04_role_fangzhong,5,TW-P-0798,麗卿,35-44,科技,>8萬,>8萬,新竹市,4,中高,機車,1.5萬~3萬,中,>5000,無,無,受僱者,5.0506
05_role_banker,1,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,4.1771
05_role_banker,2,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,4.1598
05_role_banker,3,TW-P-0811,志強,45-54,科技,>8萬,>8萬,基隆市,5+,中,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.1524
05_role_banker,4,TW-P-0929,麗華,45-54,科技,>8萬,>8萬,彰化縣,5+,極低,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.1524
05_role_banker,5,TW-P-0328,俊傑,35-44,製造,>8萬,>8萬,桃園市,5+,中,步行/腳踏車,1.5萬~3萬,中,<500,無,房貸+消費債,自營作業者,4.1328
06_aesthetic,1,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,5.6709
06_aesthetic,2,TW-P-0513,婉玲,45-54,製造,>8萬,>8萬,台中市,5+,中高,機車,1.5萬~3萬,中,1500~3000,有,有信貸或卡債,受僱者,4.5938
06_aesthetic,3,TW-P-0891,菲菲,25-34,公務,3-8萬,5-7萬,南投縣,2,極低,步行/腳踏車,<5千,低,3000~5000,有,無,受僱者,4.0574
06_aesthetic,4,TW-P-0361,麗華,35-44,醫療,3-8萬,7萬,台南市,4,低,汽車,5千~1.5萬,低,500~1500,有,無,受僱者,3.7438
06_aesthetic,5,TW-P-0247,小薇,25-34,服務,3-8萬,3-5萬,高雄市,3,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,3.3946
06_aesthetic,6,TW-P-0238,米亞,25-34,服務,3-8萬,3-5萬,桃園市,2,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,3.3843
06_aesthetic,7,TW-P-0350,美惠,35-44,家管,3-8萬,3-5萬,新北市,2,中高,機車,5千~1.5萬,中,3000~5000,有,無,不適用,3.225
